                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.0408,                0.90377,                 1.2963,                0.74877,                0.70112,                0.74707,                0.50188,                 1.2047,                0.90522,                 1.4332,               0.002278,               0.002278,               0.002278
                     80,                 1.0465,                0.90868,                 1.2997,                0.75148,                0.70276,                0.74783,                0.50327,                 1.2031,                0.90584,                 1.4329,               0.002179,               0.002179,               0.002179
                     81,                  1.038,                0.89632,                 1.2931,                0.74413,                0.70426,                 0.7476,                0.50295,                 1.2034,                0.90591,                 1.4326,                0.00208,                0.00208,                0.00208
                     82,                 1.0382,                 0.8882,                 1.2897,                0.77414,                0.69207,                0.74884,                0.50265,                 1.2036,                0.90571,                 1.4338,               0.001981,               0.001981,               0.001981
                     83,                 1.0321,                0.88818,                 1.2893,                0.77119,                0.69063,                0.74916,                0.50166,                  1.205,                0.90691,                 1.4348,               0.001882,               0.001882,               0.001882
                     84,                 1.0339,                0.87883,                 1.2908,                0.76854,                0.69197,                0.74806,                0.50249,                 1.2041,                0.90532,                 1.4337,               0.001783,               0.001783,               0.001783
                     85,                 1.0257,                0.87418,                 1.2856,                0.77497,                 0.6901,                 0.7497,                0.50322,                 1.2021,                0.90231,                 1.4329,               0.001684,               0.001684,               0.001684
                     86,                 1.0262,                0.87425,                 1.2834,                0.76973,                0.69759,                0.75205,                0.50386,                 1.2008,                0.89853,                 1.4328,               0.001585,               0.001585,               0.001585
                     87,                 1.0178,                0.85369,                 1.2791,                 0.7753,                0.69853,                0.75362,                0.50422,                 1.2014,                 0.8966,                 1.4337,               0.001486,               0.001486,               0.001486
                     88,                  1.009,                0.85405,                 1.2742,                0.76123,                0.70722,                0.75178,                0.50267,                 1.2005,                0.89438,                 1.4328,               0.001387,               0.001387,               0.001387
                     89,                 1.0097,                0.84666,                 1.2746,                0.76401,                0.70908,                0.75462,                0.50638,                    1.2,                0.89264,                 1.4333,               0.001288,               0.001288,               0.001288
                     90,                 1.0098,                0.84138,                 1.2727,                0.77635,                0.70004,                0.75542,                 0.5071,                 1.1983,                0.89171,                 1.4332,               0.001189,               0.001189,               0.001189
                     91,                0.97477,                0.69459,                 1.2836,                0.77216,                0.70474,                0.75712,                0.50734,                 1.1971,                0.88963,                 1.4308,                0.00109,                0.00109,                0.00109
                     92,                0.95969,                0.66329,                 1.2747,                0.77091,                0.70172,                 0.7579,                0.50841,                 1.1963,                0.88541,                  1.431,               0.000991,               0.000991,               0.000991
                     93,                0.95332,                0.65178,                  1.268,                0.76504,                0.70558,                0.75718,                0.50901,                 1.1954,                0.88385,                   1.43,               0.000892,               0.000892,               0.000892
                     94,                0.94577,                0.64501,                 1.2632,                0.76275,                0.71564,                0.75809,                0.50894,                 1.1949,                0.88351,                 1.4294,               0.000793,               0.000793,               0.000793
                     95,                0.94204,                0.63769,                  1.263,                0.76557,                0.71178,                 0.7565,                0.50842,                 1.1947,                0.88362,                 1.4295,               0.000694,               0.000694,               0.000694
                     96,                0.93468,                0.63116,                 1.2574,                 0.7685,                0.70499,                0.75621,                0.50895,                 1.1938,                0.88275,                 1.4289,               0.000595,               0.000595,               0.000595
                     97,                0.92688,                0.61953,                 1.2528,                0.76353,                0.70444,                0.75484,                0.50935,                 1.1933,                0.88133,                 1.4288,               0.000496,               0.000496,               0.000496
                     98,                0.91894,                0.61496,                 1.2477,                0.76677,                0.70408,                0.75578,                  0.509,                 1.1931,                 0.8808,                 1.4289,               0.000397,               0.000397,               0.000397
                     99,                0.91702,                0.60253,                 1.2382,                0.76077,                0.70967,                 0.7561,                0.50901,                 1.1931,                0.87996,                 1.4295,               0.000298,               0.000298,               0.000298
                    100,                0.91069,                0.59849,                 1.2365,                0.75885,                0.70957,                0.75536,                0.50832,                 1.1935,                0.87995,                 1.4303,               0.000199,               0.000199,               0.000199
